Author,event_start_date,event_end_date,title,speaker_name,event_type,coverage,role,participants,proof
Santanu Das,16.08.2020,17.09.2020,FDP on Data Science using Statistics,NA,FDP ,National,Course Instructor,27,https://drive.google.com/drive/folders/1lZbveD1bNRtZAvjkxvV-x2zJ0WjQp5xe?usp=sharing
Santanu Das,05.09.2020,19.09.2020,online workshop on basics of python,"Dr. Amol Goje,Director, VIIT, Baramati,Pune",Workshop,National,Organiser,30,https://drive.google.com/drive/folders/1BQ-Ptfd3EIaSXyDKVFCyg6LAWM3tE0Pb?usp=sharing
Biswadip Basu Mallik,09-02-2020,09-02-2020,BUSINESS ANALYTICS USING PYTHON / R,"Goutam Das, Sr. Consultant of Innolever Solutions pvt. Ltd",Workshop,National,Organiser,50,https://drive.google.com/drive/folders/1wcY5dAzb3gqvGMtsZ5W9qs1sHqAxpY_U?usp=sharing
Biswadip Basu Mallik,16-08-2020,17.09.2020,Basic Course on Data Science using Statistics,NA,FDP,National,Course Instructor,27,https://drive.google.com/drive/folders/1wcY5dAzb3gqvGMtsZ5W9qs1sHqAxpY_U?usp=sharing
Triparna Datta,20.8.20,21.8.20,How to conduct Labs using Virtual platforms,Panel of Speakers,FDP,International,ORGANISER,20,https://drive.google.com/file/d/1fKgeTjmmhLyal8nbCnfSFP1dwMm0TqwY/view?usp=sharing
Abhishikta Bhattacharjee,03.08.2021,07.08.2021,International Faculty Development Program on Exploring the New Paradigms of Communication and Pedagogical Innovations in the Pandemic Driven World,"Dr.Aysha Iqbal,IIT Madras,TM Raymond Pereira,Parliament of Kuwait,TMJessica Breitenfled,Netherlands,Dr.Braj Bhushan,IIT Kanpur,Dr.Priyanka Tripathi,IIT Patna,Dr.Francisco Dumanig,Hilo,USA",FDP,International,Convenor,185,https://drive.google.com/drive/folders/15rZ-6hGYrbZQ8qx1peSP7Qr2tCSn1R7o?usp=sharing
Dr. Tiyasha Sengupta,03.08.2021,07.08.2021,International Faculty Development Program on Exploring the New Paradigms of Communication and Pedagogical Innovations in the Pandemic Driven World,"Dr.Aysha Iqbal,IIT Madras,TM Raymond Pereira,Parliament of Kuwait,TMJessica Breitenfled,Netherlands,Dr.Braj Bhushan,IIT Kanpur,Dr.Priyanka Tripathi,IIT Patna,Dr.Francisco Dumanig,Hilo,USA",FDP,International,Convenor,185,https://drive.google.com/drive/folders/15rZ-6hGYrbZQ8qx1peSP7Qr2tCSn1R7o?usp=sharing
Mousumi Paul,06.08.2021,07.08.2021,,"Dr. Piku Choudhury, Dr. Meenakshi Raman, Dr. Priyanka Tripathi",Symposium,International,Convenor,200,https://drive.google.com/drive/folders/15rZ-6hGYrbZQ8qx1peSP7Qr2tCSn1R7o?usp=sharing
