Author,collab_agency,date,duration,coverage,activity,proof
Dr. Saswati Barman,"Professor Y Otani, ISSP, University of Tokyo",2021,NA,International,"collaborative research by exchange thoughts among the researchers of India, France",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Y1tbxSYAAAAJ&sortby=pubdate&citation_for_view=Y1tbxSYAAAAJ:sNmaIFBj_lkC
Dr. Saswati Barman,"Professor Anjan Barman, S. N. Bose National Centre for Basic Sciences",2021,NA,National,"collaborative research by exchange thoughts among the researchers of India, France",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Y1tbxSYAAAAJ&sortby=pubdate&citation_for_view=Y1tbxSYAAAAJ:sNmaIFBj_lkC
Soumen Nandi,"Prof. Eric Sopena, University of Bordeaux, France and Prof. Reza Naserasr, University of Paris, Didoret, France",2019,"1 Month (April, 2019)",International,"collaborative research by exchange thoughts among the researchers of India, France",https://drive.google.com/file/d/1Mz7B4ae0i0Nam793FoucJOXoJgB9Joz9/view?usp=sharing
Soumen Nandi,"Prof. Eric Sopena, University of Bordeaux, France and Prof. Reza Naserasr, University of Paris, Didoret, France",2020,"2 Months (May, June, 2020)",International,"collaborative research by exchange thoughts among the researchers of India, France",https://drive.google.com/file/d/1h_KS036bmjvwXUeGpcSxWAURwoKmv_ac/view?usp=sharing
Abhishikta Bhattacharjee,Rotary Club of Salt Lake Silicon Valley,2019,2019 (October) - 2022(June),International,Secretary,https://drive.google.com/file/d/1pR2lbvzwCweks1iKrHV7OpSsn8Am0BD0/view?usp=sharing
Riya Barui,Rotary Club of Salt Lake Silicon Valley,2019,2019 (October) - 2022(June),International,Executive Secretary/Director,https://drive.google.com/file/d/1pR2lbvzwCweks1iKrHV7OpSsn8Am0BD0/view?usp=sharing
Dr. Tina De,Rotary Club of Salt Lake Silicon Valley,2019,2019 (October) - 2022(June),International,Membership Chair,https://drive.google.com/file/d/1pR2lbvzwCweks1iKrHV7OpSsn8Am0BD0/view?usp=sharing
Dr. Samapika Das Biswas,Rotary Club of Salt Lake Silicon Valley,2019,2019 (October) - 2022(June),International,President,https://drive.google.com/file/d/1pR2lbvzwCweks1iKrHV7OpSsn8Am0BD0/view?usp=sharing
Mousumi Paul,Rotary Club of Salt Lake Silicon Valley,2019,2019 (October) - 2022(June),International,Public Image Chair,https://drive.google.com/file/d/1pR2lbvzwCweks1iKrHV7OpSsn8Am0BD0/view?usp=sharing
Dibakar Roy Choudhury,Rotary Club of Salt Lake Silicon Valley,2019,2019 (October) - 2022(June),International,Service Project Chair,https://drive.google.com/file/d/1pR2lbvzwCweks1iKrHV7OpSsn8Am0BD0/view?usp=sharing
