Distinguished Lecture Organized,,,,,,,,,,,,,,,,,,,,,,,
Date of Entry,"Date of event (Format : dd-mm-yyyy)
 FROM","Date of event (Format : dd-mm-yyyy)
 TO",Details of the Speakers with affiliation,Type,National/International,Role/ designation of the faculty in the event,Number of participants,Proof link,,,,,,,,,,,,,,,
06-06-2021,"25th July, 2019","25th July, 2019",Mr. Preetam Roy,Distinguished Lecture,National,"Senior Director, Cognizant Technology Solutions",104,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"25th July, 2019","25th July, 2019",Dr. Anjana Maitra,Distinguished Lecture,National,"Senior Reader and HOD of Political Science, Government College, Rourkela",134,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"25th July, 2019","25th July, 2019",Dr. Shravan Kumar,Distinguished Lecture,National,"Vice- President, English Language Teachers' Association (ELT@I), India",95,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"25th July, 2019","25th July, 2019",Dr. Munmun Nath,Distinguished Lecture,National,"Principal, Calcutta International School",77,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"26th July, 2019","26th July, 2019",Dr. V. L Darurkar,Distinguished Lecture,National,"Vice Chancellor, Tripura University",128,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"25th July, 2019","25th July, 2019",Prof.Mallika Banerjee,Distinguished Lecture,National,"University of Calcutta,Director,Pradip Centre for Autism Management",82,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"25th July,2019","25th July,2019",Mr. Debanjan Chakrabarti,Distinguished Lecture,National,"Director of Eastern and North Eastern Zone, British Council and Library",71,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"25th July, 2019","25th July, 2019",Mr. Suresh Paida,Distinguished Lecture,National,"Regional Head, Sales, Print & Digital, Pearson India Education Services Pvt. Ltd",211,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"27th July, 2019","27th July, 2019",Dr. Sarani Ghoshal,Distinguished Lecture,National,"Associate Professor, Social Sciences and Humanities, NIT Goa",242,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"22th August,2019","22th August,2019",Ashok Gupta,Distinguished Lecture,National,"Induction Officer, Lions Club International,District,322B2",153,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"27th July, 2020","27th July, 2020",Mr. Shayak Chandra,Distinguished Lecture,National,"A Corporate Communications trainer at TCS, Former Area Director in the Geography of Toastmasters in Kolkata",130,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"25th July, 2019","25th July, 2019",Dr. Shampa Chatterjee,Distinguished Lecture,National,"Former Director & Associate Professor, Institute of English Calcutta, Freelance trainer and Consultant in ELT",239,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"6th August,2019","6th August,2019",Dr. Nabarun Bhattacharya,Distinguished Lecture,National,"CDAC, Director",321,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"9th August,2019","9th August,2019",Dr. Mira Tarafdar,Distinguished Lecture,National,"CSIR, Metallurgical Laboratory",353,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"6th August, 2019","6th August, 2019",Mr. Agni Mitra,Distinguished Lecture,National,"IFS Officer,Regional Deputy Director,Wildlife Crime Control Bereau,Govt of India",295,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
