Distinguished Lecture Organized,,,,,,,,,,,,,,,,,,,,,,,
Date of Entry,"Date of event (Format : dd-mm-yyyy)
 FROM","Date of event (Format : dd-mm-yyyy)
 TO",Details of the Speakers with affiliation,Type,National/International,Role/ designation of the faculty in the event,Number of participants,Proof link,,,,,,,,,,,,,,,
06-06-2021,"11th December, 2020","11th December, 2020",Dr. Priyanka Tripathi,Distinguished Lecture,National,"IIT, Patna",220,https://docs.google.com/spreadsheets/d/1JCqe2frKHaMrVKYfY7fb3qFe3dBU9m1v/edit?usp=sharing&ouid=103456258799123456113&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"11th December, 2020","11th December, 2020",Dr. Atanu Saha,Distinguished Lecture,National,"Department of Linguistics, Jadavpur University",200,https://docs.google.com/spreadsheets/d/1oGQHA5xfTQh68GNN8mWYKn8OMIusPr-2/edit?usp=sharing&ouid=103456258799123456113&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"11th September, 2020","11th September, 2020",Dr. Gillian Dooley,Distinguished Lecture,International,"Flinders University, South Australia",282,https://docs.google.com/spreadsheets/d/1JCqe2frKHaMrVKYfY7fb3qFe3dBU9m1v/edit?usp=sharing&ouid=103456258799123456113&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"12th September, 2020","12th September, 2020",Dr. Ylona Veronica Aben Bayod,Distinguished Lecture,International,"St. Louis University, Phillipines",231,https://docs.google.com/spreadsheets/d/1UN3vcxRdqyC9Beqx3kMBUHJS3wQ_cueI/edit?usp=sharing&ouid=103456258799123456113&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"12th September, 2020","12th September, 2020",Dr. Binu James Mathew,Distinguished Lecture,International,College of Banking and Financial,146,https://docs.google.com/spreadsheets/d/1JCqe2frKHaMrVKYfY7fb3qFe3dBU9m1v/edit?usp=sharing&ouid=103456258799123456113&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"8th December, 2020","8th December, 2020","Raymond Pereira,",Distinguished Lecture,International,"DTM President, Elite Challenger Toastmasters, Kuwait, IT Consultant, The Parliament of Kuwait",232,https://docs.google.com/spreadsheets/d/1JCqe2frKHaMrVKYfY7fb3qFe3dBU9m1v/edit?usp=sharing&ouid=103456258799123456113&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"8th December, 2020","8th December, 2020",Coorey Woodard,Distinguished Lecture,International,"Lead Strategic, USA",286,https://docs.google.com/spreadsheets/d/1JCqe2frKHaMrVKYfY7fb3qFe3dBU9m1v/edit?usp=sharing&ouid=103456258799123456113&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"8th December, 2020","8th December, 2020",Dr. Andrew Schenck,Distinguished Lecture,International,"University of New York, Korea",157,https://docs.google.com/spreadsheets/d/1JCqe2frKHaMrVKYfY7fb3qFe3dBU9m1v/edit?usp=sharing&ouid=103456258799123456113&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"12th December, 2020","12th December, 2020",Dr. Ylona Veronica Aben Bayod,Distinguished Lecture,International,"St. Louis University, Phillipines",344,https://docs.google.com/spreadsheets/d/1UN3vcxRdqyC9Beqx3kMBUHJS3wQ_cueI/edit?usp=sharing&ouid=103456258799123456113&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"11th December, 2020","11th December, 2020",Dr. Debasree Ghosh,Distinguished Lecture,International,"Victoria University of Wellington, New Zealand",354,https://docs.google.com/spreadsheets/d/1oGQHA5xfTQh68GNN8mWYKn8OMIusPr-2/edit?usp=sharing&ouid=103456258799123456113&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"11th December, 2020","11th December, 2020",Mr. Andy Eliers,Distinguished Lecture,International,"Lead Strategic, USA",114,https://docs.google.com/spreadsheets/d/1oGQHA5xfTQh68GNN8mWYKn8OMIusPr-2/edit?usp=sharing&ouid=103456258799123456113&rtpof=true&sd=true,,,,,,,,,,,,,,,
03-07-2021,01-07-2021,01-07-2021, Mr. Corey Woodard,Distinguished Lecture,International,"Director, Lead Strategic Development Pvt. Ltd, USA.",328,https://bit.ly/3AhqLX0,,,,,,,,,,,,,,,
04-07-2021,"5th February, 2021","5th February, 2021","Prof. Dr. Enrique Zuazua Chair in Applied Analysis, Alexander von Humboldt-Professorship, Department of Mathematics, Friedrich-Alexander-Universität Erlangen-Nürnberg, Erlangen, Germany",Distinguished Lecture,International,Organiser,300,https://drive.google.com/drive/folders/1VC9K0o76U-lFzPSiKOPtexofDUkQFnge?usp=sharing,,,,,,,,,,,,,,,
04-07-2021,"5th February, 2021","5th Febtruary, 2021","Prof. Dr. Leopoldo Eduardo Cárdenas-Barrón Professor, Department of Industrial and Systems Engineering, School of Engineering and Sciences, Tecnológico de Monterrey, Monterrey, México",Distinguished Lecture,International,Organiser,300,https://drive.google.com/drive/folders/1GZiZxIBNKBsOQ4QiURMfcm8V_FB76nBm?usp=sharing,,,,,,,,,,,,,,,
04-07-2021,"6th February, 2021","6th February, 2021","Prof. Dr. Daniele Ritelli Professor of Mathematical Analysis, Department of Statistical Sciences, University of Bologna, Italy",Distinguished Lecture,International,Organiser,250,https://drive.google.com/drive/folders/1V1iRJ7wXfY0Qrdp-ynAQaPPYSK1Bxl0x?usp=sharing,,,,,,,,,,,,,,,
04-07-2021,"6th February, 2021","6th February, 2021","Prof. Dr. Carla M.A. Pinto Adjunct Professor, Sub director of the Department of Mathematics, School of Engineering, Polytechnic of Porto, Portugal",Distinguished Lecture,International,Organiser,220,https://drive.google.com/drive/folders/1KEutfVw5XzjWtBWq3yqzyz_chkLdiDwo?usp=sharing,,,,,,,,,,,,,,,
04-07-2021,"6th February, 2021","6th February, 2021","Prof. Dr. Javad Mashreghi Département de Mathématiques et de statistique, Université Laval, Québec, QC, Canada",Distinguished Lecture,International,Organiser,215,https://drive.google.com/drive/folders/1xu794hKRD_Q64-kWAG44sAUAYA1P3nB0?usp=sharing,,,,,,,,,,,,,,,
04-07-2021,"7th February, 2021","7th February, 2021","Prof. Dr. Gennaro Infante Associate Professor of Mathematical Analysis, Dipartimento di Matematica e Informatica, Universita' della Calabria, Italy",Distinguished Lecture,International,Otganiser,110,https://drive.google.com/drive/folders/1GDaTlx9sfQw_CLL8qLpov6SY6qLmfoGo?usp=sharing,,,,,,,,,,,,,,,
04-07-2021,"7th February, 2021","7th February, 2021","Prof. Dr. Ahmed Elngar Assistant Professor, Faculty of Computers & Artificial Intelligence, Beni-Suef University, Beni Suef City, Egypt",Distinguished Lecture,International,Otganiser,170,https://drive.google.com/drive/folders/1Zn14Iq4AxM0ejOjaJjLJ8Ho7tPftqnME?usp=sharing,,,,,,,,,,,,,,,
06.07.2021,05.02.2021,05.02.2021,"Prof. Mark Levi,Professor and Head,Department of Mathematics,Pennsylvania State University,USA",Distinguished Lecture,International,Organiser,250,https://drive.google.com/drive/folders/1BQ-Ptfd3EIaSXyDKVFCyg6LAWM3tE0Pb?usp=sharing,,,,,,,,,,,,,,,
05-07-2021,09-09-2020,09-09-2020,"Dr. Lisa Hopkins, Sheffield Hallam University, UK",Distinguished Lecture,International,Organiser,1800,https://www.youtube.com/watch?v=MO4OCEWTR_Y,,,,,,,,,,,,,,,
05-07-2021,08-09-2020,08-09-2020,"Dr.Melanie Pope,University of Derby,UK",Distinguished Lecture,International,Organiser,1800,https://www.youtube.com/watch?v=2osgrq_nDkw,,,,,,,,,,,,,,,
05-07-2021,09-09-2020,09-09-2020,"Scott Granville,Chasing Time English",Distinguished Lecture,International,Organiser,1800,https://www.youtube.com/watch?v=YZrs2gdNVS0,,,,,,,,,,,,,,,
05-07-2021,10-09-2020,10-09-2020,"Dr. Oksana Aftiska,Lancaster University, UK",Distinguished Lecture,International,Organiser,1800,https://www.youtube.com/watch?v=yXzUfLaeCuw,,,,,,,,,,,,,,,
05-07-2021,11-09-2020,11-09-2020,"Dr. Gillian Dooley,Flinders University, South Australia",Distinguished Lecture,International,Organiser,1800,https://www.youtube.com/watch?v=yXzUfLaeCuw,,,,,,,,,,,,,,,
05-07-2021,12-09-2020,12-09-2020,"Dr. Binu James Matthew, College of Banking and Financial ",Distinguished Lecture,International,Organiser,1800,https://www.youtube.com/watch?v=MvHU1qkpwgQ,,,,,,,,,,,,,,,
05-07-2021,08-09-2020,08-09-2020,"Dr. Pushplata rani, BITS Pilani",Distinguished Lecture,International,Organiser,1800,https://www.youtube.com/watch?v=2osgrq_nDkw,,,,,,,,,,,,,,,
07-07-2021,04-12-2020,04-12-2020,"Elnaz Sarraf, Founder & CEO ROYBI Robot | TIME Best Invention | Forbes Technology Council Official Member",Distinguished Lecture,International,Organiser,1180,https://youtube.com/playlist?list=PL4mjDeRSnK71N_aUbAlG_NMgPcnASygRd,,,,,,,,,,,,,,,
07-07-2021,16-12-2020,16-12-2020,"Michael Jobity, Co-Founder @2unify | Dragons Den S15 | AIRBUS Industry 4.0 Digital Lead | Google Suite Champion | 10x Keynote Speaker | Top Talent Under 25 | Engineering & Management",Distinguished Lecture,International,Organiser,1180,https://youtube.com/playlist?list=PL4mjDeRSnK71N_aUbAlG_NMgPcnASygRd,,,,,,,,,,,,,,,
07-07-2021,29-11-2020,29-11-2020,"Christopher Salem, CEO - Executive Coach - Corporate Trainer - Keynote Speaker - Award Winning Author - Radio Show Host",Distinguished Lecture,International,Organiser,1180,https://youtube.com/playlist?list=PL4mjDeRSnK71N_aUbAlG_NMgPcnASygRd,,,,,,,,,,,,,,,
07-07-2021,05-12-2020,05-12-2020,"Ebere Akadiri,  Founder | Entrepreneur|Mentor| Educator | Women in Leadership Advocate| Passionately connecting and inspiring leaders from diverse backgrounds to drive inclusion and share valuable insights.       ",Distinguished Lecture,International,Organiser,1180,https://youtube.com/playlist?list=PL4mjDeRSnK71N_aUbAlG_NMgPcnASygRd,,,,,,,,,,,,,,,
07-07-2021,29-12-2020,29-12-2020,"Michael Teoh Su Lim, Grow Millennial-Generation Employees to become More Productive & Happier in their Work.' - Founder CEO (Thriving Talents). Global Advisor & KOL (Microsoft). Millennials Leadership Strategist & Speaker ",Distinguished Lecture,International,Organiser,1180,https://youtube.com/playlist?list=PL4mjDeRSnK71N_aUbAlG_NMgPcnASygRd,,,,,,,,,,,,,,,
07-07-2021,07-12-2020,07-12-2020,"Krishna Kumar, CEO of GreenPepper",Distinguished Lecture,International,Organiser,1180,https://youtube.com/playlist?list=PL4mjDeRSnK71N_aUbAlG_NMgPcnASygRd,,,,,,,,,,,,,,,
07-07-2021,12-10-2019,12-10-2019,"Bob Gill, Carol Jaeger, Winnie Lai-Fong, Sean Hinton, Mandeep Panu",Distinguished Lecture,International,Organiser,2276,https://www.youtube.com/channel/UCtHkWyCCt2cB7eKMuH9Kz7Q/videos,,,,,,,,,,,,,,,
07-07-2021,12-10-2019,12-10-2019,"Pathak Mridul, Son Vuong, Shefik, Prosasty Chaudhuri, Alexander Bykovsky, Eric Lui, Yuri Cruman, Alexander Fleiss, Mark Punyanitya, ",Distinguished Lecture,International,Organiser,120,https://www.youtube.com/channel/UCtHkWyCCt2cB7eKMuH9Kz7Q/videos,,,,,,,,,,,,,,,
08-07-2021,07-07-2021,07-07-2021, Mr. Corey Woodard,Distinguished Lecture,International,"Director, Lead Strategic Development Pvt. Ltd, USA.",434,https://drive.google.com/file/d/14sBHnJ7StcxJ4IrxxtM8KRYw2k4ruMgv/view?usp=sharing,,,,,,,,,,,,,,,
08-07-2021,08-07-2021,08-07-2021,Mr. Terry L. Rodgers,Distinguished Lecture,International," Vice President, JLL, North Carolina, US",465,https://drive.google.com/file/d/1e1ViumFJ9m7YhZXUTYwFMJcLkrB6BHlI/view?usp=sharing,,,,,,,,,,,,,,,
10-07-21,05-02-21,05-02-21,Application of Far Infra red and Tera Hertz spectroscopy in chemistry and biology,"Prof. Rajib Kumar Mitra, S. N. Bose National Centre for Basic Sciences",Seminar,National,500,https://drive.google.com/file/d/16mvVBdj0DfSHDIqEwlYbYbFtTz_RB-Zp/view?usp=sharing,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
