Author,date,title,name_of_journ,coverage,impact_factor,vol_no,issn_isbn,indexing,inv_paper,prof_inv_file,studs_involved,proof
Dr. Chandan Adhikari,2018,Drug delivery system composed of mesoporous silica and hollow mesoporous silica nanospheres for chemotherapeutic drug delivery,Journal of Drug Delivery Science and Technology,International,2.7,Vol: 45 Page: 303-314,ISSN: 1773-2248,Scopus,No,NA,0,https://bit.ly/3vgZ5hW
Arnab Basu,2019,A Class of Third-Order Compact Upwind Schemes for Compressible Flow with Shocks and Vortices,Journal of Physics Through Computation,International,No,"Vol. 2, Page 5",2617-1163,Scopus applied,No,NA,0,https://www.clausiuspress.com/assets/default/article/2019/03/27/article_1553691862.pdf
Abhishikta Bhattacharjee,2019,O Pioneers! A Canvas on Which Cather's Unconscious Self is Drawn,Literary Endeavour,International,NA,"Vol. 10, Issue 2, Page 408-413",0976-299X,"EBSCO, Google Scholar, UGC",No,NA,0,https://drive.google.com/file/d/1k8YzT1V9FUgDwLp-QHbNxwGOZ-N6roIi/view?usp=sharing
Amartya Mukherjee,2019,Delay tolarent network assisted flying adhoc network senario: Modeling and analytical perspective,"wireless networks,Springer",International,2.659,"Vol. 25, Issue 5, Page 2675-2695",2675–2695,SCI,No,NA,0,https://drive.google.com/file/d/1SURZ8y0f86Zk8KPNjstGZuuSwK1Vr7UH/view?usp=sharing
Amartya Mukherjee,2019,Smart Computing with opensource platform,Book-Taylor & Francis USA,International,NA,"Vol. 1, Issue 1, Page 240", 978-0-8153-5952-4,SCOPUS,No,NA,0,https://www.google.co.in/books/edition/Smart_Computing_with_Open_Source_Platfor/4PycDwAAQBAJ?hl=en&gbpv=1&printsec=frontcover
Amartya Mukherjee,2019,Advanced Processing Techniques and Secure Architecture for Sensor Networks in Ubiquitous Healthcare Systems,Book chapter of Sensors for Health Monitoring book,International,NA,"Vol. 5, Issue 1, Page 250",26171163,SCOPUS,No,NA,1,https://www.sciencedirect.com/science/article/pii/B9780128193617000014
Dr. Saswati Barman,2019,Shape dependent high frequency spin-wave dynamics in nanoscale magnonic crystals,Journal of Magnetism and Magnetic Materials,International,2.993,"Vol. 487, Page 165263",Online : 2638-5546 Print : 2639-7412,SCOPUS,No,NA,0,https://drive.google.com/drive/folders/1qVty7ai2FFXhEKYnu5im9UscGEaZFTgL?usp=sharing
Arnab Basu,2019,Gorter-Casimir two fluid model revisited and possible applications to superconductivity,International Journal of Innovative Research in Physics,International,No,"Vol. 1, Issue 1, Page 21-30",223697,No,No,NA,0,https://ijiip.smartsociety.org/template/3.Soumya_IJIIP_new2.pdf
Dr. Anubhab Ray,2019,Extreme contractions on finite-dimensional polygonal Banach spaces,Journal of Convex Analysis,International,0.527,"Vol. 26, Issue 3, Page 877-885",0944-6532,SCI,No,NA,0,https://drive.google.com/file/d/15mi0UGad7X53lZcOcWQ_WR8DUC29eJwT/view?usp=sharing
Dibakar Roy Choudhury,2019,IN SILICO APPROACH FOR ACUTE TOXICITY PREDICTION OF PHYTOCOMPOUNDS PRESENT IN THE FRUIT OF MUSA SP. LINN. AND TO DETECT GASTRIC ULCER PROTECTIVE ABILITIES THROUGH RECEPTOR (MMP-9)-LIGAND (FLAVONOIDS) BINDING,JOURNAL OF ADVANCED SCIENTIFIC RESEARCH (JASR),International,NO,"Vol. 10, Issue 3, Page 230","(ISSN Number(Online) - 2687-7902)
  (ISSN Number(Print) - 2689-484X)",NA,No,NA,4,https://drive.google.com/file/d/1AkiQJp_ls0ptwLt4xMi6s7zPvED3xHST/view?usp=sharing 
Dr. Kamakhya Prasad Ghatak,2019,A Special Issue on Dimension Dependent Electronic Materials and Their Electron Energy Spectra,"Advanced Science, Engineering and Medicine",International,0.987,Vol. 11(10),ISSN: 2164-6627 (print); EISSN: 2164-6635 (online),Elsevier,No,NA,0,https://drive.google.com/file/d/1LK0KnoSbyAqqYjxWejHSWZaXgS3Jw6Zv/view?usp=sharing
Dr. Sharmistha Ghosh,2019,"Fixed Point Result in Menger 
Spaces of p-cyclic Ciric type 
 Contraction Mappings","International Journal of Advances 
 in Mathematics",International,NA,"Vol. 2019, Issue 4, Page 53-65",2456-6098,Publons,No,NA,0,https://drive.google.com/file/d/1t1s8cS3ZRMtpINSPX8LbVlTO05tkyGj0/view?usp=sharing
Dr. Kamakhya Prasad Ghatak,2019,Dimension Dependent Density-of-States Function and the Radiation Laws,Journal of Nano Science and Nano Technology,International,1.354,"Vol. 19(5), Page 2909-2912",0169-2968(P),SCI,No,NA,0,https://drive.google.com/file/d/1nJ68P1rKb-jTMZeS0jeFhDti5ITjIPaS/view?usp=sharing
Dr. Kakoli Dutta,2019,"Synthesis, Properties of Graphene Oxide-Metal Oxide Mixed Nanocomposites and their Applications - Review",International Journal of Advanced Science and Engineering,International,0.846,"Vol. 5, Issue 3, Page 1032-1039",Print ISSN: 2454-9967 Online ISSN: 2349-5359,SCOPUS (Under Evaluation),No,NA,1,https://drive.google.com/file/d/1IOGLFdPTT2GcxsEGgyY5suDn9Qbgr9y_/view?usp=sharing
Dr. Koyel Ganguly,2019,An analysis of the accelerated expansionof the Universe in theframework of Brans-Dicke theory of Gravitation,International Journal of Advanced Science and Engineering,International,1.06,"Vol.6, Issue 1, Page 1180-1184",E-ISSN: 2349 5359; P-ISSN: 2454-9967,NA,No,NA,0,https://drive.google.com/file/d/1Eo4uVtiWJIMUM2jRxTo2BEvb4xB1Nlpz/view?usp=sharing
Dr. Koyel Ganguly,2019,Gorter-Casimir two fluid model revisited and possible applications to superconductivity,International Journal of Innovative Research in Physics,International,NA,"Vol. 1, Issue 1, Page 21-30","(ISSN Number(Online) - 2687-7902)
  (ISSN Number(Print) - 2689-484X)",NA,No,NA,0,https://drive.google.com/file/d/1Tqzfi_ItGbrp2WE3tpTob_y-9UunPRoK/view?usp=sharing
Dr. Kamakhya Prasad Ghatak,2019,Gate Capacitance in Quantum Metal-Oxide-Semiconductor Field-Effect Transistor Devices of Technologically Important Materials,"Advanced Science, Engineering and Medicine",International,0.987,"Vol. 11, Issue 12, Page 1161-1178",ISSN: 2164-6627 (print); EISSN: 2164-6635 (online),Elsevier,No,NA,0,https://www.ingentaconnect.com/contentone/asp/asem/2019/00000011/00000012/art00002
Dr. Kamakhya Prasad Ghatak,2019,Heisenberg's Uncertainty Principle and the Gate Capacitance in Quantum Metal Oxide Silicon Field Effect Transistor Devices,"Advanced Science, Engineering and Medicine",International,0.987,"Vol. 11, Issue 10, Page 903-906",ISSN: 2164-6627 (print); EISSN: 2164-6635 (online),Elsevier,No,NA,0,https://drive.google.com/file/d/1pZ__vpaIQVZCnz_p3JN1webawHeuOOQn/view?usp=sharing
Dr. Kamakhya Prasad Ghatak,2019,On the Electron Energy Spectrum in Quantum Wells of Heavily Doped III–V Materials in the Presence of an Arbitrarily Oriented Magnetic Field,"Advanced Science, Engineering and Medicine",International,0.987,Vol. 11(10),ISSN: 2164-6627 (print); EISSN: 2164-6635 (online),Elsevier,No,NA,0,https://drive.google.com/file/d/1osz8KqL4R7RsHO-RnUa90hApJ0oPIlY5/view?usp=sharing
Dr. Kamakhya Prasad Ghatak,2019,The Energy-Wave Vector Relations and the Density-of-States Function in Heavily Doped Non-Parabolic Materials,"Advanced Science, Engineering and Medicine",International,0.987,Vol. 11(10),ISSN: 2164-6627 (print); EISSN: 2164-6635 (online),Elsevier,No,NA,0,https://drive.google.com/file/d/1BLzHNa39qVXsl79DNogXfG-d_QAhoSKt/view?usp=sharing
Dr. Kamakhya Prasad Ghatak,2019,Gate Capacitance in Quantum Metal-Oxide-Semiconductor Field-Effect Transistor Devices of Technologically Important Materials,"Advanced Science, Engineering and Medicine",International,0.987,Vol. 11,ISSN: 2164-6627 (print); EISSN: 2164-6635 (online),Elsevier,No,NA,0,https://www.ingentaconnect.com/contentone/asp/asem/2019/00000011/00000012/art00002
